Time,201Hg,202Hg
,R1-15 Blank-1    3/12/2004 8:21:53 PM    (Run: 1),
44737,128300.000,5876.000
44820,122700.000,5826.000
44903,124400.000,6926.000
44986,124900.000,6451.000
45069,119400.000,7001.000
45152,131000.000,5151.000
45235,123100.000,6076.000
45318,126800.000,4876.000
45401,125400.000,6676.000
45484,123700.000,6376.000
45567,123200.000,6651.000
45650,124000.000,6151.000
45733,125500.000,5951.000
45816,124800.000,5926.000
45899,121400.000,5801.000
45982,124400.000,5651.000
46065,119400.000,6851.000
46148,124400.000,6201.000
46231,123900.000,6251.000
46314,125100.000,5426.000
46397,119400.000,6626.000
46480,127200.000,6476.000
46563,123600.000,6351.000
46646,121400.000,5851.000
46729,123000.000,6276.000
46812,122200.000,5451.000
46895,123000.000,6651.000
46978,128700.000,5951.000
47061,126900.000,5876.000
47144,132000.000,6001.000
47227,123400.000,6101.000
47310,127400.000,5751.000
47393,126600.000,6201.000
47476,131700.000,6351.000
47559,126600.000,5976.000
47642,129100.000,6376.000
47725,128400.000,5076.000
47808,125800.000,6176.000
47891,126600.000,6101.000
47974,127600.000,6201.000
48057,127600.000,6501.000
48140,129800.000,6351.000
48223,125000.000,5476.000
48306,127700.000,6176.000
48389,124900.000,5626.000
48472,126900.000,5976.000
48555,129300.000,5326.000
48638,131000.000,6026.000
48721,131900.000,6051.000
48804,129600.000,5876.000
48887,126700.000,5951.000
48970,126200.000,6551.000
49053,129400.000,6576.000
49136,127300.000,6101.000
49219,126800.000,6251.000
49302,126800.000,6976.000
49385,130000.000,6051.000
49468,128800.000,6401.000
49551,128300.000,6101.000
49634,129800.000,6651.000
49717,129700.000,6151.000
49800,123000.000,5826.000
49883,129700.000,6301.000
49966,131000.000,6126.000
50049,124700.000,6076.000
50132,125800.000,5651.000
50215,126800.000,5901.000
50298,126300.000,6376.000
50381,129700.000,6326.000
50464,121900.000,5501.000
50547,126700.000,6976.000
50630,124300.000,6176.000
50713,128800.000,6626.000
50796,129500.000,6176.000
50879,128900.000,6226.000
50962,123900.000,6101.000
51045,131300.000,6526.000
51128,124600.000,6501.000
51211,123700.000,5876.000
51294,119900.000,5776.000
51377,128200.000,6001.000
51460,132800.000,6651.000
51543,131100.000,6176.000
51626,123700.000,5976.000
51709,129100.000,6676.000
51792,130900.000,6251.000
51875,127100.000,6801.000
51958,129200.000,6276.000
